FDD, ID, Source, Function, Line(s), Status, Comment
, , .SwFileName, .SwFuncName, .SwLines, .SwStatus, .SwComment
CF12A,098,Ap_GMStrtStop.c,StrtStop_Per1,308,I,""
CF12A,151,Ap_GMStrtStop.c,StrtStop_Per1,308,I,""
CF12A,153,Ap_GMStrtStop.c,StrtStop_Per1,"283-296,325,328-347",I,""
CF12A,152,Ap_GMStrtStop.c,SlewRateCalc,"463,473",I,""
CF12A,155,Ap_GMStrtStop.c,StrtStop_Per1,"325,334-347,349-376",I,""
CF12A,198,Ap_GMStrtStop.c,StrtStop_Per1,298-323,I,""
CF12A,157,Ap_GMStrtStop.c,SlewRateCalc,"483,488",I,""
CF12A,150,Ap_GMStrtStop.c,StrtStop_Per1,325-347,I,""
CF12A,195,Ap_GMStrtStop.c,StrtStop_Per1,"270-276,278-383",I,""
CF12A,194,Ap_GMStrtStop.c,SlewRateCalc,508,I,""
CF12A,092,Ap_GMStrtStop.c,StrtStop_Per1,286,I,""
CF12A,093,Ap_GMStrtStop.c,SlewRateCalc,453,I,""
CF12A,094,Ap_GMStrtStop.c,StrtStop_Per1,298-323,I,""
CF12A,095,Ap_GMStrtStop.c,StrtStop_Per1,308,I,""
CF12A,218,Ap_GMStrtStop.c,StrtStop_Per1,246,I,""
CF12A,097,Ap_GMStrtStop.c,StrtStop_Per1,308,I,""
CF12A,190,Ap_GMStrtStop.c,SlewRateCalc,493,I,""
CF12A,114,Ap_GMStrtStop.c,StrtStop_Per1,259,I,""
CF12A,164,Ap_GMStrtStop.c,SlewRateCalc,"483,493",I,""
CF12A,145,Ap_GMStrtStop.c,SlewRateCalc,453,I,""
CF12A,111,Ap_GMStrtStop.c,StrtStop_Per1,353,I,""
CF12A,110,Ap_GMStrtStop.c,StrtStop_Per1,353,I,""
CF12A,113,Ap_GMStrtStop.c,SlewRateCalc,525,I,""
CF12A,165,Ap_GMStrtStop.c,SlewRateCalc,"503,513",I,""
CF12A,032,Ap_GMStrtStop.c,StrtStop_Per1,248,I,""
CF12A,033,Ap_GMStrtStop.c,StrtStop_Per1,250,I,""
CF12A,230,Ap_GMStrtStop.c,StrtStop_Per1,"399,402",I,""
CF12A,036,Ap_GMStrtStop.c,StrtStop_Per1,251,I,""
CF12A,037,Ap_GMStrtStop.c,StrtStop_Per1,247,I,""
CF12A,106,Ap_GMStrtStop.c,StrtStop_Per1,360,I,""
CF12A,156,Ap_GMStrtStop.c,StrtStop_Per1,349-376,I,""
CF12A,112,Ap_GMStrtStop.c,SlewRateCalc,513,I,""
CF12A,193,Ap_GMStrtStop.c,SlewRateCalc,513,I,""
CF12A,107,Ap_GMStrtStop.c,StrtStop_Per1,360,I,""
CF12A,182,Ap_GMStrtStop.c,StrtStop_Per1,"258-265,267-385",I,""
CF12A,186,Ap_GMStrtStop.c,"StrtStop_Per1,SlewRateCalc","283-296,448,453",I,""
CF12A,162,Ap_GMStrtStop.c,StrtStop_Per1,360,I,""
CF12A,188,Ap_GMStrtStop.c,SlewRateCalc,473,I,""
CF12A,040,Ap_GMStrtStop.c,StrtStop_Per1,415,I,""
CF12A,166,Ap_GMStrtStop.c,StrtStop_Per1,"267,278-383",I,""
CF12A,187,Ap_GMStrtStop.c,SlewRateCalc,"463,468",I,""
CF12A,146,Ap_GMStrtStop.c,StrtStop_Per1,"283-296,298,302-323",I,""
CF12A,062,Ap_GMStrtStop.c,StrtStop_Per1,"270-276,278-383",I,""
CF12A,143,Ap_GMStrtStop.c,StrtStop_Per1,"283,286-296,298-323",I,""
CF12A,066,Ap_GMStrtStop.c,StrtStop_Per1,267-385,I,""
CF12A,100,Ap_GMStrtStop.c,StrtStop_Per1,325-347,I,""
CF12A,087,Ap_GMStrtStop.c,StrtStop_Per1,286,I,""
CF12A,086,Ap_GMStrtStop.c,StrtStop_Per1,"258-265,270-276,283-296,298-323,325-347,349-376",I,""
CF12A,148,Ap_GMStrtStop.c,SlewRateCalc,"463,468",I,""
CF12A,149,Ap_GMStrtStop.c,StrtStop_Per1,"298,308-323,325-347",I,""
CF12A,108,Ap_GMStrtStop.c,StrtStop_Per1,360,I,""
CF12A,163,Ap_GMStrtStop.c,SlewRateCalc,"503,508",I,""
CF12A,196,Ap_GMStrtStop.c,SlewRateCalc,525,I,""
CF12A,096,Ap_GMStrtStop.c,StrtStop_Per1,308,I,""
CF12A,229,Ap_GMStrtStop.c,StrtStop_Per1,399,I,""
CF12A,102,Ap_GMStrtStop.c,StrtStop_Per1,334,I,""
CF12A,103,Ap_GMStrtStop.c,SlewRateCalc,488,I,""
CF12A,009,Ap_GMStrtStop.c,StrtStop_Per1,249,I,""
CF12A,167,Ap_GMStrtStop.c,StrtStop_Per1,267-385,I,""
CF12A,160,Ap_GMStrtStop.c,StrtStop_Per1,"283-296,349,353-376",I,""
CF12A,161,Ap_GMStrtStop.c,StrtStop_Per1,"325-347,349,360-376",I,""
CF12A,104,Ap_GMStrtStop.c,StrtStop_Per1,349-376,I,""
CF12A,105,Ap_GMStrtStop.c,StrtStop_Per1,360,I,""
CF12A,011,Ap_GMStrtStop.c,StrtStop_Per1,414,I,""
CF12A,191,Ap_GMStrtStop.c,SlewRateCalc,"483,488",I,""
CF12A,109,Ap_GMStrtStop.c,SlewRateCalc,508,I,""
CF12A,099,Ap_GMStrtStop.c,SlewRateCalc,473,I,""
CF12A,216,Ap_GMStrtStop.c,StrtStop_Per1,416,I,""
