
NvM Block Name, Fee Block Name, Block Num (Dec), Block Num (Hex), Data Sets (Dec), Data Sets (Hex), Size (Dec), Size (Hex), Write Cycle, High Priority, EEP Number
ConfigBlock, FEE_BLOCK_CONFIG, 1, 0x000001, 2, 0x000002, 4, 0x000004, 1, False, 0
NVM_BLOCK_SER_CUSTMEC, FEE_BLOCK_SER_CUSTMEC, 2, 0x000002, 1, 0x000001, 1, 0x000001, 1, False, 0
NVM_BLOCK_SER_MANFTRAC, FEE_BLOCK_SER_MANFTRAC, 3, 0x000003, 1, 0x000001, 16, 0x000010, 1, False, 0
NVM_BLOCK_SER_ENDMODELPN, FEE_BLOCK_SER_ENDMODELPN, 4, 0x000004, 1, 0x000001, 4, 0x000004, 1, False, 0
NVM_BLOCK_SER_ENDMODELPNAC, FEE_BLOCK_SER_ENDMODELPNAC, 5, 0x000005, 1, 0x000001, 2, 0x000002, 1, False, 0
[Null], FEE_BLOCK_SER_SEED_DEPRECATED, 6, 0x000006, 1, 0x000001, 2, 0x000002, 1, False, 0
[Null], FEE_BLOCK_SER_KEY_DEPRECATED, 7, 0x000007, 1, 0x000001, 2, 0x000002, 1, False, 0
NVM_BLOCK_SER_BASEMODELPN, FEE_BLOCK_SER_BASEMODELPN, 8, 0x000008, 1, 0x000001, 4, 0x000004, 1, False, 0
NVM_BLOCK_SER_BASEMODELPNAC, FEE_BLOCK_SER_BASEMODELPNAC, 9, 0x000009, 1, 0x000001, 2, 0x000002, 1, False, 0
Rte_NvmBlock_Ap_TrqCanc_CogTrqCal, FEE_BLOCK_COGTRQCAL, 10, 0x00000A, 1, 0x000001, 1024, 0x000400, 1, False, 0
Rte_NvmBlock_CmMtrCurr_CurrTempOffset, FEE_BLOCK_CURRTEMPOFFSET, 11, 0x00000B, 1, 0x000001, 96, 0x000060, 1, False, 0
Rte_NvmBlock_CmMtrCurr_ShCurrCal, FEE_BLOCK_SHCURRCAL, 12, 0x00000C, 1, 0x000001, 28, 0x00001C, 1, False, 0
Rte_NvmBlock_CurrParamComp_EOLNomMtrParam, FEE_BLOCK_EOLNOMMTRPARAM, 13, 0x00000D, 1, 0x000001, 8, 0x000008, 1, False, 0
Rte_NvmBlock_Polarity_Polarity_Cnt_Str, FEE_BLOCK_POLARITY, 14, 0x00000E, 1, 0x000001, 2, 0x000002, 1, False, 0
Rte_NvmBlock_TrqCmdScl_TorqueCmdSF_Uls_f32, FEE_BLOCK_TORQUECMDSF, 15, 0x00000F, 1, 0x000001, 4, 0x000004, 1, False, 0
NVM_BLOCK_SER_VINDATA, FEE_BLOCK_SER_VINDATA, 16, 0x000010, 1, 0x000001, 17, 0x000011, 1, False, 0
NVM_BLOCK_SER_SYSTEMNAME, FEE_BLOCK_SER_SYSTEMNAME, 17, 0x000011, 1, 0x000001, 20, 0x000014, 1, False, 0
NVM_BLOCK_SER_REPAIRSHOPCODE, FEE_BLOCK_SER_REPAIRSHOPCODE, 18, 0x000012, 1, 0x000001, 10, 0x00000A, 1, False, 0
NVM_BLOCK_SER_SYSVERSCODEDDI, FEE_BLOCK_SER_SYSVERSCODEDDI, 19, 0x000013, 1, 0x000001, 2, 0x000002, 1, False, 0
NVM_BLOCK_SER_PROGDATE, FEE_BLOCK_SER_PROGDATE, 20, 0x000014, 1, 0x000001, 4, 0x000004, 1, False, 0
NVM_BLOCK_SER_DATAUNIVNUMSYSID, FEE_BLOCK_SER_DATAUNIVNUMSYSID, 21, 0x000015, 1, 0x000001, 9, 0x000009, 1, False, 0
NVM_BLOCK_CMS_NXTRWIRSELECT, FEE_BLOCK_NXTRWIRSELECT, 22, 0x000016, 1, 0x000001, 2, 0x000002, 1, False, 0
NVM_BLOCK_CMS_NXTRMEC, FEE_BLOCK_CMS_NXTRMEC, 23, 0x000017, 1, 0x000001, 1, 0x000001, 1, False, 0
NVM_BLOCK_CMS_ECUSRLNUM, FEE_BLOCK_CMS_ECUSRLNUM, 24, 0x000018, 1, 0x000001, 4, 0x000004, 1, False, 0
NVM_BLOCK_CMS_EPSSRLNUM, FEE_BLOCK_CMS_EPSSRLNUM, 25, 0x000019, 1, 0x000001, 4, 0x000004, 1, False, 0
NVM_BLOCK_CMS_ECUHWPN, FEE_BLOCK_CMS_ECUHWPN, 26, 0x00001A, 1, 0x000001, 12, 0x00000C, 1, False, 0
NVM_BLOCK_CMS_NXTRMANUFSCRATCHPAD, FEE_BLOCK_CMS_NXTRMANUFSCRATCHPAD, 27, 0x00001B, 1, 0x000001, 64, 0x000040, 1, False, 0
NVM_BLOCK_CMS_EPSDEFEATS, FEE_BLOCK_EPS_DEFEATS, 28, 0x00001C, 1, 0x000001, 4, 0x000004, 1, False, 0
[Null], FEE_BLOCK_DIGTRQTRIM_DEPRECATED, 29, 0x00001D, 1, 0x000001, 5, 0x000005, 1, False, 0
Rte_NvmBlock_Ap_AvgFricLrn_AvgFricLrnData, FEE_BLOCK_AVGFRICLRN, 30, 0x00001E, 1, 0x000001, 203, 0x0000CB, 1, False, 1
Rte_NvmBlock_Ap_LrnEOT_LearnedEOT, FEE_BLOCK_LEARNEDEOT, 31, 0x00001F, 1, 0x000001, 10, 0x00000A, 1, False, 1
NvM_NVM_BLOCK_DEM, FEE_BLOCK_DEM, 32, 0x000020, 1, 0x000001, 449, 0x0001C1, 1, False, 1
[Null], FEE_BLOCK_NTCSTRG_DEPRECATED, 33, 0x000021, 1, 0x000001, 75, 0x00004B, 1, False, 1
Rte_NvmBlock_BatteryVoltage_OvervoltageData, FEE_BLOCK_OVERVOLTAGEDATA, 34, 0x000022, 1, 0x000001, 8, 0x000008, 1, False, 1
NVM_BLOCK_CMS_IGNCNTR, FEE_BLOCK_CMS_IGNCNTR, 35, 0x000023, 1, 0x000001, 2, 0x000002, 1, False, 1
NVM_BLOCK_STAMD_TYPEH, FEE_BLOCK_TYPEH, 36, 0x000024, 1, 0x000001, 100, 0x000064, 1, False, 1
NVM_BLOCK_STAMD_CLOSECHECK, FEE_BLOCK_CLOSECHECK, 37, 0x000025, 1, 0x000001, 4, 0x000004, 1, False, 1
NVM_BLOCK_DIAGMGR_BLACKBOX, FEE_BLOCK_BLACKBOX, 38, 0x000026, 1, 0x000001, 192, 0x0000C0, 1, False, 1
Rte_NvmBlock_Sa_DigMSB_DigMSBEOLData, FEE_BLOCK_DIGMSBEOLDATA, 39, 0x000027, 1, 0x000001, 4102, 0x001006, 1, False, 0
Rte_NvmBlock_AbsHwPos_EOLVehCntrOffset, FEE_BLOCK_EOLHWPOSTRIM, 40, 0x000028, 1, 0x000001, 6, 0x000006, 1, False, 0
Rte_NvmBlock_DigColPs_DigColPsEOL, FEE_BLOCK_DIGCOLPSEOL, 41, 0x000029, 1, 0x000001, 20, 0x000014, 1, False, 0
NVM_BLOCK_DIAGMGR_NTCSTRG, FEE_BLOCK_NTCSTRG, 42, 0x00002A, 1, 0x000001, 60, 0x00003C, 1, False, 1
Rte_NvmBlock_Ap_TrqCanc_CogTrqRplComp, FEE_BLOCK_COGTRQRPLCOMP, 43, 0x00002B, 1, 0x000001, 18, 0x000012, 1, False, 0
NVM_BLOCK_SER_PREVREPAIRSHOPCODE, FEE_BLOCK_SER_PREVREPAIRSHOPCODE, 44, 0x00002C, 1, 0x000001, 10, 0x00000A, 1, False, 0
Rte_NvmBlock_Ap_AstLmt_SteerAsstDefeat, FEE_BLOCK_STEERASSTDEFEAT, 45, 0x00002D, 1, 0x000001, 1, 0x000001, 1, False, 0
[Null], FEE_BLOCK_TRQOVLSTAMFGENABLE_DEPRECATED, 46, 0x00002E, 1, 0x000001, 1, 0x000001, 1, False, 0
Rte_NvmBlock_Sa_DigHwTrqSENT_DigTrqTrim, FEE_BLOCK_DIGTRQTRIM, 47, 0x00002F, 1, 0x000001, 10, 0x00000A, 1, False, 0
Rte_NvmBlock_Ap_TSMit_TSMitDisableEOL, FEE_BLOCK_TSMITDISABLEEOL, 48, 0x000030, 1, 0x000001, 2, 0x000002, 1, False, 0
Rte_NvmBlock_Ap_TSMit_TSMitGainLrn, FEE_BLOCK_TSMITGAINLRN, 49, 0x000031, 1, 0x000001, 8, 0x000008, 1, False, 1
NVM_BLOCK_SER_CALPRGFLAG, FEE_BLOCK_SER_CALPRGFLAG, 50, 0x000032, 1, 0x000001, 1, 0x000001, 1, False, 0
NVM_BLOCK_SER_SEED_SPS, FEE_BLOCK_SER_SEED_SPS, 51, 0x000033, 1, 0x000001, 6, 0x000006, 1, False, 0
NVM_BLOCK_SER_KEY_SPS, FEE_BLOCK_SER_KEY_SPS, 52, 0x000034, 1, 0x000001, 6, 0x000006, 1, False, 0
NVM_BLOCK_SER_SEED_CPID, FEE_BLOCK_SER_SEED_CPID, 53, 0x000035, 1, 0x000001, 6, 0x000006, 1, False, 0
NVM_BLOCK_SER_KEY_CPID, FEE_BLOCK_SER_KEY_CPID, 54, 0x000036, 1, 0x000001, 6, 0x000006, 1, False, 0
NVM_BLOCK_SER_SEED_NEXTEER, FEE_BLOCK_SER_SEED_NEXTEER, 55, 0x000037, 1, 0x000001, 6, 0x000006, 1, False, 0
NVM_BLOCK_SER_KEY_NEXTEER, FEE_BLOCK_SER_KEY_NEXTEER, 56, 0x000038, 1, 0x000001, 6, 0x000006, 1, False, 0
