FDD, ID, Source, Function, Line(s), Status, Comment
, , .SwFileName, .SwFuncName, .SwLines, .SwStatus, .SwComment
CF09,201,Ap_TrqOvlSta.c,TrqOvlSta_Per1,"599,666",I,""
CF09,66,Ap_TrqOvlSta.c,TrqOvlSta_Per1,831,I,""
CF09,155,Ap_TrqOvlSta.c,TrqOvlSta_Per1,"711,814",I,""
CF09,154,Ap_TrqOvlSta.c,TrqOvlSta_Per1,607,I,""
CF09,150,Ap_TrqOvlSta.c,TrqOvlSta_Per1,"632,638,644,659,678,685",I,""
CF09,28,Ap_TrqOvlSta.c,TrqOvlSta_Per1,925,I,""
CF09,62,Ap_TrqOvlSta.c,TrqOvlSta_Per1,927,I,""
CF09,67,Ap_TrqOvlSta.c,TrqOvlSta_Per1,935,I,""
CF09,192,Ap_TrqOvlSta.c,TrqOvlSta_Per1,793,I,""
CF09,60,Ap_TrqOvlSta.c,TrqOvlSta_Per1,427,I,""
CF09,61,Ap_TrqOvlSta.c,TrqOvlSta_Per1,425,I,""
CF09,88,Ap_TrqOvlSta.c,TrqOvlSta_Per1,665,I,""
CF09,130,Ap_TrqOvlSta.c,"N/A,TrqOvlSta_Per1","131,881",I,"Default state is 'Inactive'. Defined in RTE"
CF09,64,Ap_TrqOvlSta.c,TrqOvlSta_Per1,928,I,""
CF09,65,Ap_TrqOvlSta.c,TrqOvlSta_Per1,841,I,""
CF09,161,Ap_TrqOvlSta.c,TrqOvlSta_Per1,819,I,""
CF09,134,Ap_TrqOvlSta.c,TrqOvlSta_Per1,586,I,""
CF09,82,Ap_TrqOvlSta.c,TrqOvlSta_Per1,932,I,""
CF09,176,Ap_TrqOvlSta.c,TrqOvlSta_Per1,"766,772,777,789",I,""
CF09,80,Ap_TrqOvlSta.c,TrqOvlSta_Per1,529,I,""
CF09,81,Ap_TrqOvlSta.c,TrqOvlSta_Per1,"528,548",I,""
CF09,173,Ap_TrqOvlSta.c,TrqOvlSta_Per1,554-559,I,""
CF09,139,Ap_TrqOvlSta.c,TrqOvlSta_Per1,"621,634,646,658,677",I,""
CF09,165,Ap_TrqOvlSta.c,TrqOvlSta_Per1,"841,852",I,""
CF09,85,Ap_TrqOvlSta.c,TrqOvlSta_Per1,615,I,""
CF09,86,Ap_TrqOvlSta.c,TrqOvlSta_Per1,"585,605,716",I,""
CF09,27,Ap_TrqOvlSta.c,TrqOvlSta_Per1,413,I,""
CF09,63,Ap_TrqOvlSta.c,TrqOvlSta_Per1,836,I,""
CF09,48,Ap_TrqOvlSta.c,TrqOvlSta_Per1,446,I,""
CF09,49,Ap_TrqOvlSta.c,TrqOvlSta_Per1,420,I,""
CF09,46,Ap_TrqOvlSta.c,N/A,129,I,""
CF09,47,Ap_TrqOvlSta.c,TrqOvlSta_Per1,415,I,""
CF09,44,Ap_TrqOvlSta.c,TrqOvlSta_Per1,418,I,""
CF09,45,Ap_TrqOvlSta.c,TrqOvlSta_Per1,419,I,""
CF09,42,Ap_TrqOvlSta.c,TrqOvlSta_Per1,414,I,""
CF09,43,Ap_TrqOvlSta.c,TrqOvlSta_Per1,417,I,""
CF09,41,Ap_TrqOvlSta.c,TrqOvlSta_Per1,412,I,""
CF09,172,Ap_TrqOvlSta.c,TrqOvlSta_Per1,742,I,""
CF09,163,Ap_TrqOvlSta.c,TrqOvlSta_Per1,836,I,""
CF09,166,Ap_TrqOvlSta.c,TrqOvlSta_Per1,831,I,""
CF09,170,Ap_TrqOvlSta.c,TrqOvlSta_Per1,871,I,""
CF09,68,Ap_TrqOvlSta.c,TrqOvlSta_Per1,939,I,""
